"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"95"	"H_15_145"	"Högsjön"	19	60	1	0	1	"H"	15.5765957446809	16.7340425531915	14.6914893617021	0.827131304200483	2.04255319148936	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	4	4	1	211	241
"96"	"H_15_148"	"Högsjön"	18	40	1	0	10	"H"	18.9085106382979	20.8936170212766	16.7127659574468	1.69020385596609	4.18085106382979	1	1	0	0	0	0	2	1.5	2	0	0	0	0	0	1	1	6	6	2	211	241
"97"	"H_15_152"	"Högsjön"	21	27.5	1	0	1	"H"	18.0063829787234	19.436170212766	16.3085106382979	1.25711969671738	3.12765957446809	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"98"	"H_15_154"	"Högsjön"	19	40	1	0	11	"H"	15.7446808510638	16.6170212765957	14.436170212766	0.909911338760131	2.18085106382979	2	0	0	0	0	0	2	1	1	1	0	0	1	0	0	2	2.5	4	2	211	241
"99"	"H_15_155"	"Högsjön"	12.5	20	0	0	0	"H"	18.2553191489362	19.6382978723404	16.436170212766	1.34371076909908	3.20212765957447	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	2	2	1	211	241
"100"	"R_15_001"	"Remmene"	18	31	0	0	1	"R"	16.3891304347826	19.3586956521739	13.6630434782609	2.2405513982696	5.69565217391304	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	2	211	240
"101"	"R_15_004"	"Remmene"	37	37.5	0	0	1	"R"	14.6391304347826	16.0652173913043	12.7934782608696	1.34292028548813	3.27173913043478	2	0	0	0	0	0	2	1	1	1	0	0	0	1	0	2	3	5	2	211	240
"102"	"R_15_005"	"Remmene"	24	27.5	0	7	3	"R"	16.4565217391304	19.1304347826087	13.9347826086957	2.07687204662952	5.19565217391304	1	1	0	0	0	0	2	1.5	2	1	0	0	0	1	0	2	3	5	2	211	240
"103"	"R_15_006"	"Remmene"	25	30	0	8	4	"R"	16.3695652173913	19.1304347826087	13.4347826086957	2.21893252380735	5.69565217391304	0	1	1	0	0	0	2	2.5	3	0	0	0	0	0	2	2	6	6	2	211	240
"104"	"R_15_007"	"Remmene"	20	15	0	0	3	"R"	15.0326086956522	16.195652173913	13.3695652173913	1.21275783372705	2.82608695652174	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	211	240
"105"	"R_15_008"	"Remmene"	21	20	0	1	0	"R"	15.3478260869565	17.0652173913043	13.2065217391304	1.49498707310241	3.85869565217391	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	211	240
"106"	"R_15_009"	"Remmene"	21	20	1	4	0	"R"	15.4108695652174	16.6413043478261	13.7391304347826	1.17127310108681	2.90217391304348	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	240
"107"	"R_15_010"	"Remmene"	23	20	0	9	0	"R"	15.3586956521739	16.5978260869565	13.6413043478261	1.25894747991798	2.95652173913043	3	1	1	0	0	0	5	1.6	3	1	1	0	0	0	1	3	3	6	5	211	240
